degree_type,founder_count
B.S. (Hons),2
B.S. (inc),1
B.S. (with hons),1
"B.S. , M.S.",1
B.S. / B.A.,4
B.S. / EECS,1
B.S. / M.S,1
B.S. / M.S.,3
B.S. / M.S.E.,1
B.S. A.A.E.,1
B.S. Accounting,1
B.S. Business,3
B.S. Business Admin.,1
B.S. Business Administration,5
B.S. Business Administration (Fi,1
B.S. CIS,1
B.S. Commerce,1
B.S. Communications,1
B.S. Computer Engineering,2
B.S. Computer Information System,1
B.S. Computer Science,1
B.S. Computer Science and Engine,1
"B.S. Degree, Cum Laude",1
"B.S. Double Major, Electrical En",1
B.S. Econ,1
B.S. Economics,4
B.S. Electrical & Computer Engin,1
B.S. Electrical Engineering,2
B.S. Electronics & Telecommunica,1
B.S. Engineering,4
B.S. Honours,1
B.S. International Political Eco,1
B.S. M.E.,1
B.S. M.S.,1
B.S. Management,1
B.S. Marketing,1
B.S. Mechanical Engineering,1
B.S. Physical Science,1
B.S. Physics,1
B.S. Psychology,1
B.S. With Honors,1
B.S. and B.A,1
B.S. and M.A.,1
B.S. and M.B.A.,2
B.S. cum laude,1
B.S. degree,1
B.S. honors,1
B.S. in Business,1
B.S. in Business Administration,2
B.S. in Computer Engineering,1
B.S. in Computer Science,1
B.S. in Economics,1
B.S. in Electrical Engineering,1
B.S. in Engineering,1
B.S. in Management (Honors),1
B.S. in Neuroscience,1
B.S. in Pharmacy,1
"B.S. in Systems and Sciences, Co",1
B.S. in business administration,1
B.S. in mechanical engineering,1
B.S. summa cum laude,1
B.S. with Distinction,1
B.S. with Finance Applications &,1
B.S. with Honors,3
B.S. with Honors and Distinction,1
B.S.(summa cum laude),1
"B.S., Accounting",3
"B.S., B.S., B.A.",1
"B.S., Business",1
"B.S., Business Administration",2
"B.S., Computer Science",1
"B.S., Computer Science & Electri",1
"B.S., Computer Science and Busin",1
"B.S., Economics Minor",1
"B.S., Electrical Engineering",1
"B.S., Engineering",1
"B.S., Engineering and Biology",1
"B.S., Finance",2
"B.S., Honors",1
"B.S., Industrial Engineering",1
"B.S., M.Eng",2
"B.S., M.Eng, Ph.D.",1
"B.S., M.Eng.",1
"B.S., M.S.",5
"B.S., M.S. and Ph.D",1
"B.S., M.S., and Ph.D.",1
"B.S., Management",1
"B.S., Management Science and Eng",1
B.S./ B.A.,1
B.S./B.A.,2
B.S./B.FA,1
B.S./M.S.,2
B.S./Minor,1
B.S.B.,2
B.S.B.A. Finance,1
B.S.B.A. Pending,1
B.S.B.S,1
"B.S.C. Photo-Journalism, Radio T",1
B.S.E,2
B.S.E.,2
B.S.E. (cum laude),1
B.S.E.E,1
"B.S.E.E., M.S.E.E. and Ph.D.",1
B.S.Ed.,1
B.S.Eng.,1
B.S.F.S,1
B.S.F.S.,2
B.S.L,1
B.S.M.,1
B.S.M.E,4
B.S.M.E.,3
B.S.S.V.E with distinction,1
B.S.W.,1
B.S; Awarded B.S,1
B.S>,1
B.Sc,6
B.Sc (Econ),1
B.Sc (Honours),1
B.Sc (summa cum laude),1
B.Sc Applied Science,1
B.Sc Computer Science,1
B.Sc EE,1
B.Sc Enggenering,1
B.Sc Physics,1
B.Sc and M.Sc,1
B.Sc and Masters Degree,1
B.Sc in view,1
"B.Sc, International program supp",1
B.Sc.,5
B.Sc. (Cum Laude),1
B.Sc. (Economics),1
B.Sc. (Honours),2
"B.Sc. (Hons), Chemistry",1
B.Sc. (Ma),1
B.Sc. 2:1,1
B.Sc. Computer Science,1
B.Sc. Ec.,1
B.Sc. Honours,2
B.Sc. Summa Cum Laude,1
B.Sc. and M.Sc.,3
B.Sc. in Electrical Engineering,1
B.Sc. in Physics,1
B.Sc. with INSTRUMENTATION,1
B.Sc.(First Class Hons),1
B.Sc.(I.T.),1
"B.Sc., Business Administration &",1
"B.Sc., Economics",1
"B.Sc., Engineering",1
"B.Sc., M.Mgmnt",1
B.Sc.; M.Sc,1
B.Sc.E,1
B.Sc.E.E. (Hons.),1
B.Sc.IT,1
B.Sc.IT (Hons),1
B.Sc.T.E,2
B.Sc/Electronics,1
B.Sci.,3
B.Soc.Sc,1
B.Soc.Sci,1
B.Stat,1
B.TECH(I.T),1
B.Tech,4
B.Tech (Hons),2
B.Tech (Hons.),4
B.Tech (IT),1
B.Tech Full Time,1
B.Tech degree,1
"B.Tech, Computer science",1
"B.Tech, Electrical Engineering",1
"B.Tech, Mechanical Engineering",1
B.Tech.,7
B.Tech. (Honors),1
B.Tech. (Hons.),1
B.Tech/B.S/B.E,1
B.ed,1
B.ed.,1
B.mus,1
B.pharmacy(full time),1
B.sc. Diploma of Engineer,1
B.tech,1
B/A,1
B/TEC,1
BA,15134
BA  Professional Photography - A,1
BA & BS,4
BA & CPA,1
BA & MA,1
BA & MBA,1
BA (2:1),1
BA (Comp Sci.) Hons.,1
BA (Cum Laude),2
BA (Econ),1
BA (Exchange),1
BA (Honors and Phi Beta Kappa),1
BA (Honors),3
"BA (Honours), Economics",1
BA (Hons),1
BA (Hons)  (Upper Second Class),1
BA (Hons) 2:1,1
BA (Hons) Business Administratio,1
BA (Hons) Diploma,1
BA (Hons) First Class,1
"BA (Hons) First Class, Economics",1
BA (Hons) In-Company Degree,1
BA (Hons) International Business,1
BA (Hons) of Business Administra,1
BA (Hons) â First Class,1
BA (Hons.) Cantab,1
BA (Mod),1
BA (Psychology),1
BA (dual major),1
BA (honors),2
BA (honors) degree and a Master ,1
BA (hons) - 1st class,1
BA (magna cum laude & Phi Beta K,1
BA (mod.),1
BA (na),1
"BA , MBA",1
BA - 1st class,1
BA - Bachelor of Arts,1
BA - Business Management,1
BA - Economics,1
BA - Honors,1
BA - Specialist in Management,1
BA / BA (Hons),1
BA / BS / MS,1
BA / Honors,1
BA / MA,2
BA / MS,1
BA Advertising,1
BA BAI (hons),1
BA Business,1
BA Business Administration,2
BA Business Administration-Accou,1
BA Business Adminstration,1
BA Business Marketing & Corporat,1
BA Business studies/Marketing (H,1
BA Communication Science,1
BA Communications,2
BA Computer Science,2
BA Cum Laude,1
BA Degree,1
BA Dip Ed M.Ed.,1
BA EE,1
BA Economics,3
BA English/Economics,1
BA Finance,1
BA HBA,1
BA Hon,2
BA Honor,1
BA Honors,2
BA Honors with Distinction,1
BA Honours - 2.1,1
BA Honours 1st class,1
BA Honours Degree,1
BA Honours Upper Second,1
"BA Honours, Joint Major",1
BA Hons,1
BA Hons (First Class),1
BA Hons 2:1,1
BA Hons First Class,1
"BA Hons, Economics",2
"BA Hons, French & Economics",1
BA Hons. International Business ,1
BA Humanities,1
BA Industrial Design (Eng.),1
BA International Business,1
BA JT NS,1
BA Joint Honours,2
BA Joint Honours degree,1
BA Journalism,1
BA Latin (Hons),1
BA Liberal Arts,1
BA MBA,1
BA Magna Cum Laude,2
BA Marketing,1
BA Moderatorship,1
BA Music,1
BA Political Science,1
BA Sc.,1
BA Science in Design,1
BA Social Science,2
BA Social Sciences,1
BA Sports Management,1
BA Talmudic Law,1
BA and BE,2
BA and BFA,1
BA and BS,3
BA and Certificate,1
BA and MA,5
BA and MBA,3
BA and MSEE,1
BA and Part III,1
BA and an MA,1
BA and the MA,1
BA cum laude,1
BA english,1
BA equivalent,1
BA hons 2:1,1
BA in Arts & Science,1
BA in Business,1
BA in Business Administration an,1
BA in Business Management,2
BA in Economics,3
BA in Economics & International ,1
"BA in Letters , MBA/JD",1
BA in Marketing and Finance,1
BA in Media Production and Manag,1
BA in Political Science,2
BA int.,1
BA minor,1
BA of Communications,1
BA with Co-op,1
BA with Distinction,1
BA with Honors,7
BA with Research Distinction,1
BA with University Honors,1
BA with high honors,2
BA with highest honors,1
BA with honors,3
BA's (2,1
BA(Econ)Hons,1
BA(Hons) First Class,1
"BA(Hons), Music and Arts Managem",1
"BA, Accounting and Information S",1
"BA, BAI",1
"BA, BBA",1
"BA, BCom",1
"BA, BE, and MBA",1
"BA, BS",16
"BA, BS, MA",1
"BA, BSEE",1
"BA, Biochemistry",1
