id,entity_type,name,normalized_name,category_code,status,founded_at,closed_at,investment_rounds,invested_companies,funding_rounds,funding_total_usd,milestones,relationships
c:856,Company,Cuil,cuil,search,closed,2005-01-01,2010-09-01,0,0,2,33000000.0,4,13
c:85778,Company,Dittit,dittit,software,acquired,2011-06-01,2012-03-01,0,0,1,18885.0,0,0
c:85839,Company,I Am Smart Technology,i am smart technology,hardware,closed,2008-01-14,2012-01-03,0,0,2,752000.0,1,2
c:8596,Company,Carbonetworks,carbonetworks,cleantech,closed,2005-01-01,2011-07-28,0,0,1,5000000.0,1,6
c:86038,Company,Ziliko,ziliko,ecommerce,closed,2009-01-01,2013-06-01,0,0,4,907101.0,1,6
c:86120,Company,Netgamix Inc,netgamix,games_video,closed,2010-09-24,2012-04-03,0,0,3,132885.0,2,6
c:86187,Company,RANK PRODUCTIONS,rank productions,music,closed,2009-10-13,2012-08-01,0,0,2,650000.0,1,4
c:8621,Company,Instagarage,instagarage,public_relations,closed,2007-05-07,2011-02-01,0,0,1,25000.0,0,2
c:86448,Company,Pearescope,pearescope,social,closed,2009-09-09,2013-06-01,0,0,2,325000.0,1,5
c:8699,Company,We're Rolling,were rolling,other,closed,2007-02-19,2010-05-25,0,0,0,0.0,0,2
c:87650,Company,Gurnard Perch Sophisticated  Technologies,gurnard perch sophisticated technologies,web,closed,2011-01-01,2013-06-01,1,1,1,1350000.0,1,3
c:8786,Company,IRL Connect,irl connect,web,closed,2008-04-09,2012-11-12,0,0,1,157260.0,1,3
c:880,Company,mEgo,mego,web,closed,2005-10-01,2012-05-13,0,0,4,6515116.0,0,3
c:8817,Company,TagosGreen Business Community,tagosgreen business community,public_relations,closed,2008-07-14,2010-02-25,0,0,1,0.0,0,1
c:8839,Company,Mapori,mapori,public_relations,closed,2007-07-01,2009-08-14,0,0,1,10000.0,0,0
c:8845,Company,Enikos,enikos,advertising,closed,2006-01-01,2013-05-27,0,0,2,1100000.0,1,7
c:88495,Company,Path.To,path to,web,closed,2011-03-11,2013-07-16,0,0,1,1500000.0,2,3
c:8903,Company,RODECO ICT Services,rodeco ict services,web,closed,2004-08-26,2009-06-15,0,0,1,720480.0,0,4
c:891,Company,StoryBlender,storyblender,network_hosting,closed,2005-01-01,2012-07-11,0,0,1,1500000.0,1,3
c:894,Company,BroadClip,broadclip,software,closed,2006-04-01,2012-04-01,0,0,1,2885000.0,0,3
c:8941,Company,Event Innovation,event innovation,enterprise,closed,2007-08-01,2008-01-02,0,0,1,0.0,2,6
c:8947,Company,Cucku,cucku,enterprise,closed,2007-05-25,2011-08-01,0,0,0,0.0,0,3
c:8957,Company,Anthillz,anthillz,web,closed,2008-03-29,2008-01-01,0,0,1,0.0,1,0
c:8989,Company,Mobnotes,mobnotes,mobile,closed,2007-06-01,2011-01-01,0,0,0,0.0,0,5
c:9031,Company,Zorap,zorap,web,closed,2008-04-21,2011-01-01,0,0,2,2251000.0,2,1
c:9038,Company,Six Degrees Games,six degrees games,games_video,closed,2006-01-01,2012-06-15,0,0,3,17999998.0,0,5
c:904,Company,BrightQube,brightqube,ecommerce,closed,2006-10-01,2009-10-01,0,0,2,850000.0,0,3
c:90490,Company,Spontaneously,spontaneously,web,closed,2011-03-01,2013-02-01,0,0,1,0.0,1,4
c:905,Company,BuzzDash,buzzdash,web,closed,2006-09-01,2009-04-10,0,0,1,1200000.0,0,2
c:90505,Company,Everpix,everpix,photo_video,closed,2011-08-26,2013-11-01,0,0,3,2425000.0,3,4
c:9085,Company,Local Marketers,local marketers,web,closed,2005-01-01,2011-02-03,0,0,1,4100000.0,3,3
c:9098,Company,Edenbee.com,edenbee,network_hosting,closed,2007-01-01,2011-02-08,0,0,1,329250.0,0,2
c:9106,Company,LeisureLogix,leisurelogix,software,closed,2006-08-01,2012-09-04,0,0,3,5900000.0,0,5
c:911,Company,Goojet,goojet,mobile,closed,2006-12-01,2012-05-10,0,0,2,11852030.0,3,5
c:9128,Company,Agdersoft,agdersoft,web,closed,2007-02-09,2008-01-18,0,0,0,0.0,0,6
c:915,Company,Mix & Meet,mix meet,web,closed,2006-02-01,2011-12-23,0,0,1,400000.0,0,2
c:9226,Company,Logia Group,logia group,mobile,closed,2004-01-01,2013-07-07,1,1,1,2500000.0,3,3
c:930,Company,Notemarks,notemarks,web,closed,2003-10-01,2009-08-01,0,0,0,0.0,0,4
c:933,Company,Sim Ops Studios,sim ops studios,web,closed,2006-01-01,2011-01-01,0,0,1,698866.0,0,2
c:9336,Company,Heekya,heekya,web,closed,2008-05-08,2012-05-02,0,0,1,0.0,3,1
c:9357,Company,ididwork,ididwork,web,closed,2008-08-05,2012-11-14,0,0,1,0.0,0,0
c:937,Company,mPortico,mportico,mobile,closed,2006-10-01,2012-10-22,0,0,4,3750000.0,0,6
c:9372,Company,Enigmatec,enigmatec,enterprise,closed,2002-04-01,2011-01-28,0,0,3,32500000.0,1,1
c:9403,Company,MyFrontSteps,myfrontsteps,web,closed,2008-01-15,2013-06-14,0,0,1,3000000.0,0,0
c:9421,Company,GoYoDeo,goyodeo,games_video,closed,2007-08-07,2010-04-13,0,0,1,150000.0,0,1
c:9432,Company,CUPR,cupr,advertising,closed,2008-10-31,2011-05-15,0,0,1,300000.0,0,7
c:95847,Company,Brightfish,brightfish,web,closed,2011-08-01,2013-05-20,0,0,1,120000.0,0,0
